"A class of low complexity high concurrence algorithms,""J. L. Aravena";" A. O. Barbir"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Department of Mathematics and Computer Science, Western Carolina University, Cullowhee, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""495"",""502"",""A nonconventional approach to the analysis of dedicated computing structures in which the number of compute cycles is used as a design parameter to determine families of transformations implementable in the structure is presented. Using this approach, a single architecture can be used to implement a family of transformations with varying degrees of complexity. The transformations generated by a matrix multiplication array are considered in detail. It is shown that, for some real-time applications it becomes possible to incorporate the compute time as a constraint for designs based in optimality criteria. In particular, a least square approximation problem is discussed.<>"",""1558-2183"","""",""10.1109/71.97905"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97905"","""",""Signal processing algorithms";Computer architecture;Very large scale integration;Arithmetic;Systolic arrays;Parallel processing;Array signal processing;Time factors;Least squares approximation;"Parallel algorithms"","""",""7"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A class of randomized strategies for low-cost comparison of file copies,""D. Barbara";" R. J. Lipton"",""Department of Computer Science, Princeton University, Princeton, NJ, USA";" Department of Computer Science, Princeton University, Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""160"",""170"",""A class of algorithms that use randomized signatures to compare remotely located file copies is presented. A simple technique that sends on the order of 4/sup f/log(n) bits, where f is the number of differing pages that are to be diagnosed and n is the number of pages in the file, is described. A method to improve the bound in the number of bits sent, making them grow with f as flog(f) and with n as log(n)log(log(n)), and a class of algorithms in which the number of signatures grows with f as fr/sup f/, where r can be made to approach 1, are also presented. A comparison of these techniques is discussed.<>"",""1558-2183"","""",""10.1109/71.89062"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89062"","""",""Transaction databases";Costs;Distributed algorithms;Fault tolerance;Humans;Hardware;Database systems;Sun;Broadcasting;"Voting"","""",""19"",""7"",""8"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A generalized simultaneous access dictionary machine,""Z. Fan";" K. . -H. Cheng"",""Advanced Computing Solutions, Inc., Houston, TX, USA";" Department of Computer Science, University of Houston, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""149"",""159"",""A simultaneous access design of a dictionary machine which supports insert, delete, and search operations is presented. The design is able to handle p accesses simultaneously and allows redundant accesses to occur. In the design, processors performing insert or delete operations are free to perform other tasks after submitting their accesses to the design"; processors that perform search operations get their response in O(log N) time. Compared to all sequential access designs of a dictionary which require O(p) time to process p accesses, the presented design provides much higher throughput;" specifically, O(p/log p) times better. It also provides a fast mechanism to avoid the sequential access bottleneck in any large multiprocessor system.<>"",""1558-2183"","""",""10.1109/71.89061"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89061"","""",""Dictionaries";Data structures;Throughput;Multiprocessing systems;Process design;Parallel processing;Natural language processing;Hardware;Pipeline processing;"Computer science"","""",""2"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A loop transformation theory and an algorithm to maximize parallelism,""M. E. Wolf";" M. S. Lam"",""Computer Systems Laboratory, University of Stanford, Stanford, CA, USA";" Computer Systems Laboratory, University of Stanford, Stanford, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""452"",""471"",""An approach to transformations for general loops in which dependence vectors represent precedence constraints on the iterations of a loop is presented. Therefore, dependences extracted from a loop nest must be lexicographically positive. This leads to a simple test for legality of compound transformations: any code transformation that leaves the dependences lexicographically positive is legal. The loop transformation theory is applied to the problem of maximizing the degree of coarse- or fine-grain parallelism in a loop nest. It is shown that the maximum degree of parallelism can be achieved by transforming the loops into a nest of coarsest fully permutable loop nests and wavefronting the fully permutable nests. The canonical form of coarsest fully permutable nests can be transformed mechanically to yield maximum degrees of coarse- and/or fine-grain parallelism. The efficient heuristics can find the maximum degrees of parallelism for loops whose nesting level is less than five.<>"",""1558-2183"","""",""10.1109/71.97902"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97902"","""",""Testing";Parallel processing;Vectors;Parallel machines;Law;Legal factors;Conferences;Computer languages;Program processors;"Space exploration"","""",""411"",""11"",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A nonblocking quorum consensus protocol for replicated data,""D. Agrawal";" A. J. Bernstein"",""Department of Computer Science, University of California, Santa Barbara, CA, USA";" Department of Computer Science, State University of New York, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""171"",""179"",""A nonblocking quorum protocol for replica control which guarantees one-copy serializability is developed. The effects of a nonblocking protocol are analyzed, and it is shown that the gains can be substantial under certain conditions. It is demonstrated that in order for the protocol to be useful, it must be integrated with a propagation mechanism. It is also shown that the access latency can be reduced significantly in a replicated environment. An interesting aspect of the quorum protocol is that it essentially uses a read quorom/write-quorom approach for concurrency control but uses a read-one/write-all approach for replica control. It is shown that the nonblocking quorom protocol provides the same level of availability and fault tolerance as the quorum protocol proposed by D.K. Gifford (1979).<>"",""1558-2183"","""",""10.1109/71.89063"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89063"","""",""Access protocols";Delay;Fault tolerance;Database systems;Writing;Concurrency control;Computer science;Availability;Distributed databases;"Fault tolerant systems"","""",""9"","""",""40"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A parallel execution model of logic programs,""A. C. Chen";" C. . -I. Wu"",""Department of Electrical and Computer Engineering, University of Texas, Austin, USA";" Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""79"",""92"",""A parallel-execution model that can concurrently exploit AND and OR parallelism in logic programs is presented. This model employs a combination of techniques in an approach to executing logic problems in parallel, making tradeoffs among number of processes, degree of parallelism, and combination bandwidth. For interpreting a nondeterministic logic program, this model (1) performs frame inheritance for newly created goals, (2) creates data-dependency graphs (DDGs) that represent relationships among the goals, and (3) constructs appropriate process structures based on the DDGs. (1) The use of frame inheritance serves to increase modularity. In contrast to most previous parallel models that have a large single process structure, frame inheritance facilitates the dynamic construction of multiple independent process structures, and thus permits further manipulation of each process structure. (2) The dynamic determination of data dependency serves to reduce computational complexity. In comparison to models that exploit brute-force parallelism and models that have fixed execution sequences, this model can reduce the number of unification and/or merging steps substantially. In comparison to models that exploit only AND parallelism, this model can selectively exploit demand-driven computation, according to the binding of the query and optional annotations. (3) The construction of appropriate process structures serves to reduce communication complexity. Unlike other methods that map DDGs directly onto process structures, this model can significantly reduce the number of data sent to a process and/or the number of communication channels connected to a process.<>"",""1558-2183"","""",""10.1109/71.80191"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80191"","""",""Parallel processing";Logic programming;Manipulator dynamics;Concurrent computing;Logic design;Bandwidth;Employment;Computational complexity;Merging;"Complexity theory"","""",""5"","""",""43"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A template-based approach to the generation of distributed applications using a network of workstations,""A. Singh"; J. Schaeffer;" M. Green"",""Distributed Systems Research Laboratory, Department of Computing Science, University of Alberta, Edmonton, AB, Canada"; Distributed Systems Research Laboratory, Department of Computing Science, University of Alberta, Edmonton, AB, Canada;" Distributed Systems Research Laboratory, Department of Computing Science, University of Alberta, Edmonton, AB, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""52"",""67"",""A computational model and system for the generation of distributed applications in a workstation environment are presented. The well-known RPC model is modified by a novel concept known as template attachment. A computation consists of a network of sequential procedures which have been encapsulated in templates. A small selection of templates is available from which a distributed application with the desired communication behavior can be rapidly built. The system generates all the required low-level code for correct synchronization, communication, and scheduling. This results in a system that is easy to use and flexible and can provide a programmer with the desired amount of control in using idle processing power over a network of workstations. The practical feasibility of the model has been demonstrated by implementing it for Unix-based workstation environments.<>"",""1558-2183"","""",""10.1109/71.80189"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80189"","""",""Workstations";Computer networks;Distributed computing;Application software;Parallel processing;Power system modeling;Concurrent computing;Parallel programming;Power engineering computing;"Computational modeling"","""",""32"",""4"",""37"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A top-down processor allocation scheme for hypercube computers,""J. Kim"; C. R. Das;" W. Lin"",""Department of Electrical and Computer Engineering, Pennsylvania State University, University Park, PA, USA"; Department of Electrical and Computer Engineering, Pennsylvania State University, University Park, PA, USA;" Department of Electrical Engineering, University of Hawai, Honolulu, HI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""20"",""30"",""An efficient processor allocation policy is presented for hypercube computers. The allocation policy is called free list since it maintains a list of free subcubes available in the system. An incoming request of dimension k (2/sup k/ nodes) is allocated by finding a free subcube of dimension k or by decomposing an available subcube of dimension greater than k. This free list policy uses a top-down allocation rule in contrast to the bottom-up approach used by the previous bit-map allocation algorithms. This allocation scheme is compared to the buddy, gray code (GC), and modified buddy allocation policies reported for the hypercubes. It is shown that the free list policy is optimal in a static environment, as are the other policies, and it also gives better subcube recognition ability compared to the previous schemes in a dynamic environment. The performance of this policy, in terms of parameters such as average delay, system utilization, and time complexity, is compared to the other schemes to demonstrate its effectiveness. The extension of the algorithm for parallel implementation, noncubic allocation, and inclusion/exclusion allocation is also given.<>"",""1558-2183"","""",""10.1109/71.80186"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80186"","""",""Hypercubes";Concurrent computing;Reflective binary codes;Resource management;Topology;Delay systems;Delay effects;Computer architecture;Parallel machines;"Flow graphs"","""",""79"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"An efficient modular spare allocation scheme and its application to fault tolerant binary hypercubes,""M. S. Alam";" R. G. Melhem"",""Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA";" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""117"",""126"",""Consideration is given to fault tolerant systems that are built from modules called fault tolerant basic blocks (FTBBs), where each module contains some primary nodes and some spare nodes. Full spare utilization is achieved when each spare within an FTBB can replace any other primary or spare node in that FTBB. This, however, may be prohibitively expensive for larger FTBBs. Therefore, it is shown that for a given hardware overhead more reliable systems can be designed using bigger FTBBs without full spare utilization than using smaller FTBBs with full spare utilization. Sufficient conditions for maximizing the reliability of a spare allocation strategy in an FTBB for a given hardware overhead are presented. The proposed spare allocation strategy is applied to two fault tolerant reconfiguration schemes for binary hypercubes. One scheme uses hardware switches to replace a faulty node, and the other scheme uses fault tolerant routing to bypass faulty nodes in the system and deliver messages to the destination node.<>"",""1558-2183"","""",""10.1109/71.80194"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80194"","""",""Fault tolerance";Hypercubes;Hardware;Switches;Fault tolerant systems;Routing;Redundancy;Multiprocessing systems;Sufficient conditions;"Binary trees"","""",""32"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"An implementation of interprocedural bounded regular section analysis,""P. Havlak";" K. Kennedy"",""Department of Computer Science, Rice University, Houston, TX, USA";" Department of Computer Science, Rice University, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""350"",""360"",""Regular section analysis, which summarizes interprocedural side effects on subarrays in a form useful to dependence analysis, while avoiding the complexity of prior solutions, is shown to be a practical addition to a production compiler. Optimizing compilers should produce efficient code even in the presence of high-level language constructs. However, current programming support systems are significantly lacking in their ability to analyze procedure calls. This deficiency complicates parallel programming, because loops with calls can be a significant source of parallelism. The performance of regular section analysis is compared to two benchmarks: the LINPACK library of linear algebra subroutines and the Rice Compiler Evaluation Program Suite (RiCEPS), a set of complete application codes from a variety of scientific disciplines. The experimental results demonstrate that regular section analysis is an effective means of discovering parallelism, given programs written in an appropriately modular programming style.<>"",""1558-2183"","""",""10.1109/71.86110"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86110"","""",""Algorithm design and analysis";Parallel programming;High level languages;Parallel processing;Libraries;Optimizing compilers;Program processors;Design optimization;Read-write memory;"Computer science"","""",""139"",""1"",""41"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Automatic generation of self-scheduling programs,""I. Foster"",""Mathematics and Computer Science Division, Argonne National Laboratory, Argonne, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""68"",""78"",""Techniques are described for the automatic generation of self-scheduling parallel programs. Both scheduling algorithms and the concurrent components of applications are expressed in a high-level concurrent language. Partitioning and data dependency information are expressed by simple control statements, which may be generated either automatically or manually. A self-scheduling compiler, implemented as a source-to-source transformation, takes application code, control statements, and scheduling routines and generates a new program that can schedule its own execution on a parallel computer. The approach has several advantages compared to previous proposals. It generates programs that are portable over a wide range of parallel computers. There is no need to embed special control structures in application programs. The use of a high-level language to express applications and scheduling algorithms facilitates the development, modification, and reuse of parallel programs.<>"",""1558-2183"","""",""10.1109/71.80190"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80190"","""",""Processor scheduling";Application software;Scheduling algorithm;Program processors;Concurrent computing;Load management;Automatic generation control;Portable computers;Programming profession;"Proposals"","""",""10"",""2"",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Block, multistride vector, and FFT accesses in parallel memory systems,""D. T. Harper"",""Department of Electrical Engineering, University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""43"",""51"",""A discussion is presented of the use of dynamic storage schemes to improve parallel memory performance during three important classes of data accesses: vector accesses in which multiple strides are used to access a single vector, block accesses, and constant-geometry FFT accesses. The schemes investigated are based on linear address transformations, also known as XOR schemes. It has been shown that this class of schemes can be implemented more efficiently in hardware and has more flexibility than schemes based on row rotations or other techniques. Several analytical results are shown. These include: quantitative analysis of buffering effects in pipelined memory systems"; design rules for storage schemes that provide conflict-free access using multiple strides, blocks, and FFT access patterns;" and an analysis of the effects of memory bank cycle time on storage scheme capabilities.<>"",""1558-2183"","""",""10.1109/71.80188"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80188"","""",""Bandwidth";Buffer storage;Vectors;Hardware;Memory architecture;Performance loss;Degradation;Computer architecture;Pattern analysis;"Process design"","""",""51"",""5"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"CAREL: computer aided reliability evaluator for distributed computing networks,""S. Soh";" S. Rai"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""199"",""213"",""An efficient method to compute the terminal reliability (the probability of communication between a pair of nodes) of a distributed computing system (DCS) is presented. It is assumed that the graph model G(V,E) for DCS is given and that the path and/or cut information for the network G(V,E) is available. Boolean algebraic concepts are used to define four operators: compare, reduce, combine, and generate. The proposed method, called CAREL, uses the four operators to generate exclusive and mutually disjoint events. CAREL has been implemented using bit vector representation on an Encore MULTIMAX 320 system. It is shown that CAREL solves large DCS networks (having a pathset on the order of 780 and a cutset on the order of 7300 or more) with a reasonable memory requirement. A comparison with other algorithms reveals the computational efficiency of the method. The proof of correctness of CAREL is included.<>"",""1558-2183"","""",""10.1109/71.89065"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89065"","""",""Distributed computing";Computer networks;Computer network reliability;Distributed control;Telecommunication network reliability;Boolean functions;Polynomials;Iterative algorithms;Computational efficiency;"Measurement"","""",""86"",""1"",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Clustering on a hypercube multicomputer,""S. Ranka";" S. Sahni"",""School of Computer Science, Syracuse University, Syracuse, NY, USA";" Department of Computer and Information Science, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""129"",""137"",""Squared error clustering algorithms for single-instruction multiple-data (SIMD) hypercubes are presented. The algorithms are shown to be asymptotically faster than previously known algorithms and require less memory per processing element (PE). For a clustering problem with N patterns, M features per pattern, and K clusters, the algorithms complete in O(k+log NM) steps on NM processor hypercubes. This is optimal up to a constant factor. These results are extended to the case in which NMK processors are available. Experimental results from a multiple-instruction, multiple-data (MIMD) medium-grain hypercube are also presented.<>"",""1558-2183"","""",""10.1109/71.89059"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89059"","""",""Hypercubes";Clustering algorithms;Pattern recognition;Computer errors;Pattern analysis;Image segmentation;Silicon carbide;Computer science;Partitioning algorithms;"Iterative algorithms"","""",""23"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compile-time partitioning of iterative parallel loops to reduce cache coherency traffic,""S. G. Abraham";" D. E. Hudak"",""Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""318"",""328"",""Adaptive data partitioning (ADP) which reduces the execution time of parallel programs by reducing interprocessor communication for iterative parallel loops is discussed. It is shown that ADP can be integrated into a communication-reducing back end for existing parallelizing compilers or as part of a machine-specific partitioner for parallel programs. A multiprocessor model to analyze program execution factors that lead to interprocessor communication and a model for the iterative parallel loop to quantify communication patterns within a program are defined. A vector notation is chosen to quantify communication across a global data set. Communication parameters are computed by examining the indexes of array accesses and are adjusted to reflect the underlying system architecture by compensating for cache line sizes. These values are used to generate rectangular and hexagonal partitions that reduce interprocessor communication.<>"",""1558-2183"","""",""10.1109/71.86107"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86107"","""",""Multiprocessing systems";Program processors;Parallel processing;Bandwidth;Delay;Parallel programming;Costs;Computer architecture;Traffic control;"Optimizing compilers"","""",""24"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compile-time techniques for data distribution in distributed memory machines,""J. Ramanujam";" P. Sadayappan"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""472"",""482"",""A solution to the problem of partitioning data for distributed memory machines is discussed. The solution uses a matrix notation to describe array accesses in fully parallel loops, which allows the derivation of sufficient conditions for communication-free partitioning (decomposition) of arrays. A series of examples that illustrate the effectiveness of the technique for linear references, the use of loop transformations in deriving the necessary data decompositions, and a formulation that aids in deriving heuristics for minimizing a communication when communication-free partitions are not feasible are presented.<>"",""1558-2183"","""",""10.1109/71.97903"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97903"","""",""Programming profession";Random access memory;Matrix decomposition;Program processors;Sufficient conditions;Costs;Data analysis;Pattern analysis;Hypercubes;"Information science"","""",""100"",""1"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compile-time techniques for improving scalar access performance in parallel memories,""A. Gupta";" M. L. Soffa"",""Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA";" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""138"",""148"",""Compile-time techniques for storage allocation of scalar values into memory modules that limit run-time memory-access conflicts are presented. The allocation approach is applicable to those operands in instructions that can be predicted at compile-time, where an instruction is composed of the multiple operations and corresponding operands that execute in parallel. Algorithms to schedule data transfers among memory modules to avoid conflicts that cannot be eliminated by the distribution of values alone are developed. The techniques have been implemented as part of a compiler for a reconfigurable long instruction word architecture. Results of experiments are presented demonstrating that a very high percentage of memory access conflicts can be avoided by scheduling a very low number of data transfers.<>"",""1558-2183"","""",""10.1109/71.89060"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89060"","""",""Bandwidth";Laser mode locking;Scheduling algorithm;Processor scheduling;Memory architecture;Multiprocessor interconnection networks;Degradation;Impedance;Programming profession;"Computer science"","""",""9"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compiling communication-efficient programs for massively parallel machines,""J. Li";" M. Chen"",""Department of Computer Science, Portland State University, Portland, OR, USA";" Department of Computer Science, Yale University, New Heaven, CT, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""361"",""376"",""A method of generating parallel target code with explicit communication for massively parallel distributed-memory machines is presented. The source programs are shared-memory parallel programs with explicit control structures. The method extracts syntactic reference patterns from a program with shared address space, selects appropriate communication routines, places these routines in appropriate locations in the target program text and sets up correct conditions for invoking these routines. An explicit communication metric is used to guide the selection of data layout strategies.<>"",""1558-2183"","""",""10.1109/71.86111"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86111"","""",""Parallel machines";Hardware;Costs;Communication system control;Aggregates;Pattern matching;Processor scheduling;Concurrent computing;Parallel processing;"Application software"","""",""122"",""4"",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Compiling global name-space parallel loops for distributed execution,""C. Koelbel";" P. Mehrotra"",""CITVCRPC, Rice University, Houston, TX, USA";" NASA Langley Research Center, Hampton, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""440"",""451"",""Compiler support required to allow programmers to express their algorithms using a global name-space is discussed. A general method for the analysis of a high-level source program and its translation into a set of independently executing tasks that communicate using messages is presented. It is shown that if the compiler has enough information, the translation can be carried out at compile time"; otherwise;" run-time code is generated to implement the required data movement. The analysis required in both situations is described, and the performance of the generated code on the Intel iPSC/2 hypercube is presented.<>"",""1558-2183"","""",""10.1109/71.97901"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97901"","""",""Memory architecture";Programming profession;Data structures;NASA;Program processors;Runtime;Algorithm design and analysis;Message passing;Performance analysis;"Costs"","""",""143"","""",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Consensus with dual failure modes,""F. J. Meyer";" D. K. Pradhan"",""Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, MA, USA";" Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""214"",""222"",""The problem of achieving consensus in a distributed system is discussed. Systems are treated in which either or both of two types of faults may occur: dormant (essentially omission and timing faults) and arbitrary (exhibiting arbitrary behavior, commonly referred to as Byzantine). Previous results showed that are number of dormant faults may be tolerated when there are no arbitrary faults and that, at most, (n-1/3) arbitrary faults may be tolerated when there are no dormant faults (n is the number of processors). A continuum is established between the previous results: an algorithm exists iff n>f/sub max/+2m/sub max/ and c>f/sub max/+m/sub max/ (where c is the system connectivity), when faults are constrained so that there are at most f/sub max/ and at most m/sub max/ of these that are arbitrary. An algorithm is given and compared to known algorithms. A method is given to establish virtual links so that the communications graph appears completely connected.<>"",""1558-2183"","""",""10.1109/71.89066"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89066"","""",""Timing";Fault tolerance;Routing;Computer crashes;Nominations and elections;Distributed algorithms;"Process control"","""",""87"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Consistency in dataflow graphs,""E. A. Lee"",""Department of Electrical Engineering and Computer Science, University of California, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""223"",""235"",""Analytical properties of programming languages with dataflow graph semantics are discussed. It is shown that one of the most serious problems with these languages is that subtle inconsistencies between parts of the dataflow graph can be inadvertently created. These inconsistencies can lead to deadlock, or in the case of nonterminating programs, to unbounded memory requirements. Consistency is defined to mean that the same number of tokens is consumed as produced on any arc, in the long run. A token-flow model is developed for testing for inconsistency. The method is a generalization of consistency checks for synchronous dataflow (SDF) graphs. The token-flow model is compared to similar tests applied to hybrid dynamical systems. It is argued that dataflow semantics make steady-state analysis possible, leading to a simpler method in most cases.<>"",""1558-2183"","""",""10.1109/71.89067"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89067"","""",""Fires";System recovery;Testing;Parallel processing;Signal processing;Iterative algorithms;Signal processing algorithms;Electric breakdown;Computer languages;"Digital signal processing"","""",""76"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
